page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:4PIB2155QP,K1:71X53V3RZ1,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Beef ['4PIB2155QP'] and 2-(CYCLOHEXYLAMINO)ETHANESULFONIC Acid ['71X53V3RZ1'], preferred names BEEF and 2-(CYCLOHEXYLAMINO)ETHANESULFONIC ACID; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:71X53V3RZ1,page_b,Beef,2-(CYCLOHEXYLAMINO)ETHANESULFONIC Acid,,,,remainder
K1:4QW4AN84NQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:V5T10N50RD -> K1:4QW4AN84NQ; the two names denote one live page (SEMULOPARIN),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,SEMULOPARIN,,,,,
K1:4UCX5GAV96,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:5511VZ6NRQ -> K1:4UCX5GAV96; the two names denote one live page (PLOVAMER),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,PLOVAMER,,,,,
K1:4UG613F036,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:8TW510F64S -> K1:4UG613F036; the two names denote one live page (Edifoligide),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Edifoligide,,,,,
K1:4V6I63LW1E,K1:206J6X63BE,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Tiomolibdic acid as the parent substance of TIOMOLIBDATE DIAMMONIUM, but it records the active moiety as TIOMOLIBDATE ION (91U3TGV99T); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:206J6X63BE,page_b,Tiomolibdic acid,TIOMOLIBDATE DIAMMONIUM,,structure_conflict; moiety_match,related_form_of,
K1:4VON5FNS3C,K1:65OE787Q7W,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of WBZKQQHYRPRKNJ; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:65OE787Q7W,page_b,SODIUM METABISULFITE,POTASSIUM METABISULFITE,,structure_conflict,,remainder
K1:4YGF4PQP49,K1:I24X278AP1,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons YKFLAYDHMOASIY vs YHQGMYUVUMAZJR; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:I24X278AP1,page_b,Gamma-Terpinene,ALPHA-TERPINENE,,structure_conflict,,remainder
K1:5313W10MYT,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:79UH94646K -> K1:5313W10MYT; the two names denote one live page (Avexitide),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Avexitide,,,,,
K1:59CF90960T,K2:AQTNUGRRZDRZIA-UHFFFAOYSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons ZEGMEJVULDALSH vs AQTNUGRRZDRZIA; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K2:AQTNUGRRZDRZIA-UHFFFAOYSA-N,page_b,LYS-006,CPD 22,,structure_conflict,,remainder
K1:5CXP06X16D,K1:KUB8101TNF,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Camellia Japonica Flower Oil and Camellia Japonica Flower are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:KUB8101TNF,page_b,Camellia Japonica Flower Oil,Camellia Japonica Flower,,,,remainder
K1:5G6HL9K2G4,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:7FT6J26HG9 -> K1:5G6HL9K2G4; the two names denote one live page (Zifcasiran),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Zifcasiran,,,,,
K1:5G7N7E908H,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:6PVO8I3BR9 -> K1:5G7N7E908H; the two names denote one live page (Delcasertib),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Delcasertib,,,,,
K1:5Q1I94P4WG,K4:rose geranium,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Rose Geranium Oil and Rose Geranium are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K4:rose geranium,page_b,Rose Geranium Oil,Rose Geranium,,,,remainder
K1:5Z657QHG6F,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:UY95M62TKD -> K1:5Z657QHG6F; the two names denote one live page (Xalnesiran),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Xalnesiran,,,,,
K1:6930DL209R,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:I1BSR8FDW9 -> K1:6930DL209R; the two names denote one live page (Curdlan),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Curdlan,,,,,
K1:724GKU717M,K4:jojoba,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Jojoba Oil and Jojoba are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K4:jojoba,page_b,Jojoba Oil,Jojoba,,,,remainder
K1:72Q967Y48V,K1:JDR81QW9ZQ,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Artemisia Vulgaris Oil ['72Q967Y48V'] and Artemisia Vulgaris Whole ['JDR81QW9ZQ'], preferred names Artemisia vulgaris flowering top oil and ARTEMISIA VULGARIS WHOLE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:JDR81QW9ZQ,page_b,Artemisia Vulgaris Oil,Artemisia Vulgaris Whole,,,,remainder
K1:7857H94KHM,K1:5KV86114PT,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:7857H94KHM is a mixed salt whose active moiety is Thioglycolic Acid (7857H94KHM); Ethanolamine is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:5KV86114PT,page_b,Ethanolamine,Thioglycolic Acid,,structure_conflict,related_form_of,
K1:7A7G0PQI12,K1:8H4VM8NQA5,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Cervus Elaphus Horn Oil and Cervus Elaphus Horn are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:8H4VM8NQA5,page_b,Cervus Elaphus Horn Oil,Cervus Elaphus Horn,,,,remainder
K1:7OXK16K08B,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:H255GGK3NZ -> K1:7OXK16K08B; the two names denote one live page (Rovanersen),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Rovanersen,,,,,
K1:7RRX3XD4VY,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:K913U54BW7 -> K1:7RRX3XD4VY; the two names denote one live page (Solbinsiran),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Solbinsiran,,,,,
K1:7S686LQT6T,K1:NS3OZT14QT,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons AVKOENOBFIYBSA vs YUFFSWGQGVEMMI; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:NS3OZT14QT,page_b,Osbond Acid,DOCOSAPENTAENOIC ACID,,structure_conflict,,remainder
K1:7UP781YBR6,K1:TW371I5GLO,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,separate,"R8m Salcolex holds 2 different organic components (OEYIOHPDSNJKLS, YGSDEFSMJLZEOE); which one is the moiety is not a question the structure answers; §3.1 merges a salt into one parent moiety and no register names Salcolex Anhydrous and Salcolex as one substance",medium,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:TW371I5GLO,page_b,Salcolex Anhydrous (C24H38MgN2O12S),Salcolex (C24H46MgN2O16S),,structure_conflict,,disambiguate
K1:7YNJ3PO35Z,K1:X6T6YN87SU,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons UFHFLCQGNIYNRP vs KRKNYBCHXYNGOX; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:X6T6YN87SU,page_b,Hydrogen,POTASSIUM SODIUM HYDROGEN CITRATE,,structure_conflict,,remainder
K1:7YNJ3PO35Z,K2:FNWVPWJMPKZALM-UHFFFAOYSA-B,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons UFHFLCQGNIYNRP vs KRKNYBCHXYNGOX; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K2:FNWVPWJMPKZALM-UHFFFAOYSA-B,page_b,Hydrogen,POTASSIUM SODIUM HYDROGEN CITRATE ANHYDROUS,,structure_conflict,,remainder
K1:83DNB5FIRF,K1:UP39BHE708,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons OQWKEEOHDMUXEO vs FADFGCOCHHNRHF; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:UP39BHE708,page_b,SHOGAOL,(10)-SHOGAOL,,structure_conflict,,remainder
K1:85J5ZP6YSL,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:SH55B0RQ9K -> K1:85J5ZP6YSL; the two names denote one live page (Oblimersen),high,NOT-LICENSED,rest,3,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Oblimersen,,,,,
K1:8L70Q75FXE,K1:NYX13NT29D,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons ZKHQWZAMYRWXGA vs CAWZRIXWFRFUQB; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:NYX13NT29D,page_b,ADENOSINE TRIPHOSPHATE,"(.ALPHA.,.BETA.-METHYLENE)ADENOSINE 5'-TRIPHOSPHATE",,structure_conflict,,remainder
K1:901MC95XSB,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:901MC95XSB is a mixed salt whose active moiety is Zatosetron (901MC95XSB); MALEIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,3,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,Zatosetron,MALEIC ACID,,structure_conflict,related_form_of,remainder
